21 210
11 19 22
11 20 22
12 13 23
12 14 23
12 15 23
12 16 23
12 17 23
12 18 23
12 19 23
12 20 23
13 14 24
2 3 13
2 4 13
2 5 13
2 6 13
2 7 13
2 8 13
2 9 13
2 10 13
2 11 13
2 12 13
0 10 11
0 11 11
0 12 11
0 13 11
0 14 11
0 15 11
0 16 11
0 17 11
0 18 11
0 19 11
0 20 11
1 2 12
1 3 12
1 4 12
1 5 12
1 6 12
1 7 12
1 8 12
1 9 12
1 10 12
1 11 12
1 12 12
1 13 12
1 14 12
1 15 12
1 16 12
1 17 12
1 18 12
1 19 12
1 20 12
2 15 13
2 16 13
2 17 13
2 18 13
2 19 13
2 20 13
3 4 14
3 5 14
3 6 14
3 7 14
3 8 14
3 9 14
3 10 14
3 11 14
3 12 14
3 13 14
3 14 14
3 15 14
3 16 14
3 17 14
3 18 14
4 12 15
4 13 15
4 14 15
4 15 15
4 16 15
4 17 15
4 18 15
4 19 15
4 20 15
5 6 16
5 7 16
5 8 16
5 9 16
5 10 16
5 11 16
5 12 16
5 13 16
5 14 16
5 15 16
5 16 16
5 17 16
5 18 16
5 19 16
5 20 16
6 7 17
6 8 17
6 9 17
6 10 17
6 11 17
6 12 17
6 13 17
6 14 17
6 15 17
6 16 17
6 17 17
6 18 17
6 19 17
6 20 17
7 8 18
7 9 18
7 10 18
7 11 18
7 12 18
7 13 18
7 14 18
7 15 18
7 16 18
7 17 18
7 18 18
7 19 18
7 20 18
8 9 19
8 10 19
8 11 19
8 12 19
8 13 19
8 14 19
8 15 19
8 16 19
8 17 19
8 18 19
8 19 19
8 20 19
9 10 20
9 11 20
9 12 20
9 13 20
9 14 20
9 15 20
9 16 20
9 17 20
9 18 20
9 19 20
9 20 20
10 11 21
10 12 21
10 13 21
10 14 21
10 15 21
10 16 21
10 17 21
10 18 21
10 19 21
10 20 21
11 12 22
11 13 22
11 14 22
11 15 22
11 16 22
11 17 22
11 18 22
13 15 24
13 16 24
13 17 24
13 18 24
13 19 24
13 20 24
14 15 25
14 16 25
14 17 25
14 18 25
14 19 25
14 20 25
15 16 26
15 17 26
15 18 26
15 19 26
15 20 26
16 17 27
16 18 27
16 19 27
16 20 27
17 18 28
17 19 28
17 20 28
18 19 29
18 20 29
19 20 30
2 13 13
2 14 13
0 1 11
0 2 11
0 3 11
0 4 11
0 5 11
0 6 11
0 7 11
0 8 11
0 9 11
3 19 14
3 20 14
4 5 15
4 6 15
4 7 15
4 8 15
4 9 15
4 10 15
4 11 15
